,facilityName,facilityIdentifier
0,Kyamulibwa HC III,mgr6AHrRokx
1,NTETE HEALTH CENTRE II,sbsaajvJPqH
2,NTETE HEALTH CENTRE II,sbsaajvJPqH
3,NTETE HEALTH CENTRE II,sbsaajvJPqH
4,NTETE HEALTH CENTRE II,sbsaajvJPqH
5,NTETE HEALTH CENTRE II,sbsaajvJPqH
6,NTETE HEALTH CENTRE II,sbsaajvJPqH
7,NTETE HEALTH CENTRE II,sbsaajvJPqH
8,NTETE HEALTH CENTRE II,sbsaajvJPqH
9,NTETE HEALTH CENTRE II,sbsaajvJPqH
10,NTETE HEALTH CENTRE II,sbsaajvJPqH
11,NTETE HEALTH CENTRE II,sbsaajvJPqH
12,NTETE HEALTH CENTRE II,sbsaajvJPqH
13,NTETE HEALTH CENTRE II,sbsaajvJPqH
14,NTETE HEALTH CENTRE II,sbsaajvJPqH
15,NTETE HEALTH CENTRE II,sbsaajvJPqH
16,NTETE HEALTH CENTRE II,sbsaajvJPqH
17,NTETE HEALTH CENTRE II,sbsaajvJPqH
18,NTETE HEALTH CENTRE II,sbsaajvJPqH
19,NTETE HEALTH CENTRE II,sbsaajvJPqH
20,NTETE HEALTH CENTRE II,sbsaajvJPqH
21,NTETE HEALTH CENTRE II,sbsaajvJPqH
22,NTETE HEALTH CENTRE II,sbsaajvJPqH
23,NTETE HEALTH CENTRE II,sbsaajvJPqH
24,NTETE HEALTH CENTRE II,sbsaajvJPqH
25,NTETE HEALTH CENTRE II,sbsaajvJPqH
26,NTETE HEALTH CENTRE II,sbsaajvJPqH
27,NTETE HEALTH CENTRE II,sbsaajvJPqH
28,NTETE HEALTH CENTRE II,sbsaajvJPqH
29,NTETE HEALTH CENTRE II,sbsaajvJPqH
30,NTETE HEALTH CENTRE II,sbsaajvJPqH
31,NTETE HEALTH CENTRE II,sbsaajvJPqH
32,NTETE HEALTH CENTRE II,sbsaajvJPqH
33,NTETE HEALTH CENTRE II,sbsaajvJPqH
34,NTETE HEALTH CENTRE II,sbsaajvJPqH
35,NTETE HEALTH CENTRE II,sbsaajvJPqH
36,NTETE HEALTH CENTRE II,sbsaajvJPqH
37,NTETE HEALTH CENTRE II,sbsaajvJPqH
38,NTETE HEALTH CENTRE II,sbsaajvJPqH
39,NTETE HEALTH CENTRE II,sbsaajvJPqH
40,NTETE HEALTH CENTRE II,sbsaajvJPqH
41,NTETE HEALTH CENTRE II,sbsaajvJPqH
42,NTETE HEALTH CENTRE II,sbsaajvJPqH
43,NTETE HEALTH CENTRE II,sbsaajvJPqH
44,NTETE HEALTH CENTRE II,sbsaajvJPqH
